Product ID,Week_Start,Forecast_Units
P0001,2024-01-08,5062.873493658606
P0002,2024-01-08,4699.8646336252805
P0003,2024-01-08,4804.9439403381875
P0004,2024-01-08,4976.708645261089
P0005,2024-01-08,5494.946519082394
P0006,2024-01-08,4570.280469052334
P0007,2024-01-08,3666.6935521131973
P0008,2024-01-08,5190.791457278985
P0009,2024-01-08,5116.086295447103
P0010,2024-01-08,4866.391401673324
P0011,2024-01-08,4902.045714362774
P0012,2024-01-08,4693.916179120879
P0013,2024-01-08,5523.026436305383
P0014,2024-01-08,5206.989214519497
P0015,2024-01-08,4769.108588269667
P0016,2024-01-08,4731.2941887473835
P0017,2024-01-08,4702.602500197777
P0018,2024-01-08,4402.0252431101235
P0019,2024-01-08,5132.470117325079
P0020,2024-01-08,5092.155070513545
P0001,2024-01-15,4942.401675328168
P0002,2024-01-15,4599.888431544798
P0003,2024-01-15,4510.315997555246
P0004,2024-01-15,4795.014821157709
P0005,2024-01-15,5326.872968355192
P0006,2024-01-15,4631.551481773887
P0007,2024-01-15,3751.9320081982823
P0008,2024-01-15,5041.30349175585
P0009,2024-01-15,4852.530368617847
P0010,2024-01-15,4985.907091929161
P0011,2024-01-15,5009.239484299902
P0012,2024-01-15,4656.60568744385
P0013,2024-01-15,5673.289888184057
P0014,2024-01-15,5275.3157307920665
P0015,2024-01-15,5054.219585566922
P0016,2024-01-15,4853.51469846632
P0017,2024-01-15,4536.383594629982
P0018,2024-01-15,4386.955255257595
P0019,2024-01-15,4996.819851944269
P0020,2024-01-15,4975.39016846146
P0001,2024-01-22,5229.530876569417
P0002,2024-01-22,4652.254305258168
P0003,2024-01-22,4766.529166195017
P0004,2024-01-22,5003.025997742997
P0005,2024-01-22,5397.749747756323
P0006,2024-01-22,4450.053898901563
P0007,2024-01-22,3746.319035803218
P0008,2024-01-22,5163.087818950323
P0009,2024-01-22,5281.400109834372
P0010,2024-01-22,5007.4401067654035
P0011,2024-01-22,4914.176681293765
P0012,2024-01-22,4535.617079180538
P0013,2024-01-22,5699.416728440644
P0014,2024-01-22,5434.489829398515
P0015,2024-01-22,5008.166957590555
P0016,2024-01-22,4769.1240039255945
P0017,2024-01-22,4804.781708736444
P0018,2024-01-22,4445.887429859671
P0019,2024-01-22,5058.092781075875
P0020,2024-01-22,4871.697931090868
P0001,2024-01-29,5176.346130976915
P0002,2024-01-29,4400.4031820691025
P0003,2024-01-29,4685.950175510718
P0004,2024-01-29,4947.229607869438
P0005,2024-01-29,5302.165188811871
P0006,2024-01-29,4441.750528670855
P0007,2024-01-29,3521.569884264021
P0008,2024-01-29,5096.402073949188
P0009,2024-01-29,4974.066741167129
P0010,2024-01-29,4774.958761075765
P0011,2024-01-29,4870.9006926091915
P0012,2024-01-29,4647.858482506562
P0013,2024-01-29,5538.217621194399
P0014,2024-01-29,5246.671610004218
P0015,2024-01-29,5085.423407329153
P0016,2024-01-29,4689.178078814178
P0017,2024-01-29,4583.603672823437
P0018,2024-01-29,4300.797737722695
P0019,2024-01-29,5002.689108931781
P0020,2024-01-29,5069.218759828732
P0001,2024-02-05,5034.635321282758
P0002,2024-02-05,4060.262906440992
P0003,2024-02-05,4668.547212660906
P0004,2024-02-05,4862.871107983961
P0005,2024-02-05,4923.251657898269
P0006,2024-02-05,4104.417511989095
P0007,2024-02-05,2927.505666507286
P0008,2024-02-05,4874.9210150810495
P0009,2024-02-05,4894.497665623273
P0010,2024-02-05,4874.1412721793895
P0011,2024-02-05,4812.866318315736
P0012,2024-02-05,3974.6210618320893
P0013,2024-02-05,5419.14398714824
P0014,2024-02-05,4898.57690885738
P0015,2024-02-05,4974.203570163546
P0016,2024-02-05,3686.649894093197
P0017,2024-02-05,3985.85766940402
P0018,2024-02-05,3777.2442708184058
P0019,2024-02-05,4844.2019601876555
P0020,2024-02-05,4702.031637735094
P0001,2024-02-12,5039.5608002874
P0002,2024-02-12,4468.283605660839
P0003,2024-02-12,4535.757747496256
P0004,2024-02-12,4891.9173432760235
P0005,2024-02-12,4986.149613442022
P0006,2024-02-12,4633.634997504025
P0007,2024-02-12,3435.8566750268337
P0008,2024-02-12,4997.5743234153915
P0009,2024-02-12,4985.275725315275
P0010,2024-02-12,4893.195453921394
P0011,2024-02-12,4812.866318315736
P0012,2024-02-12,4477.284377194206
P0013,2024-02-12,5057.8746947992495
P0014,2024-02-12,5024.094269275544
P0015,2024-02-12,4841.44784679052
P0016,2024-02-12,4144.672408947735
P0017,2024-02-12,4439.017828957016
P0018,2024-02-12,4449.410841346494
P0019,2024-02-12,4809.911305278303
P0020,2024-02-12,4802.206997153384
P0001,2024-02-19,5040.835730051866
P0002,2024-02-19,4486.429299504914
P0003,2024-02-19,4509.024078312808
P0004,2024-02-19,4844.806880191687
