Product ID,Forecast_8W,Avg_Weekly_Forecast,on_hand_units,on_order_units,inventory_position,Weeks_of_Supply,Risk_Category,Recommended_Action
P0001,40567.019758206996,5070.8774697758745,1573,431,2004,0.3951978749130718,Critical,Expedite replenishment
P0002,35723.431959589296,4465.428994948662,1403,489,1892,0.4236994927341246,Critical,Expedite replenishment
P0003,36756.050732132935,4594.506341516617,1070,779,1849,0.4024371417865226,Critical,Expedite replenishment
P0004,39184.44551146687,4898.055688933358,1149,694,1843,0.3762717529251586,Critical,Expedite replenishment
P0005,41573.871947290725,5196.733993411341,1935,642,2577,0.4958883797529832,Critical,Expedite replenishment
P0006,36398.16047700585,4549.770059625731,1771,531,2302,0.5059596352852533,Critical,Expedite replenishment
P0007,28208.247015693083,3526.0308769616354,610,429,1039,0.29466559887169835,Critical,Expedite replenishment
P0008,40315.81414597274,5039.476768246593,1435,522,1957,0.3883339660043532,Critical,Expedite replenishment
P0009,39981.48480680507,4997.685600850634,1159,599,1758,0.35176282391609,Critical,Expedite replenishment
P0010,39180.47658800232,4897.55957350029,1689,515,2204,0.45002004915374605,Critical,Expedite replenishment
P0011,38947.82784582858,4868.478480728572,1053,533,1586,0.32576913018677933,Critical,Expedite replenishment
P0012,35769.5407540625,4471.192594257813,1094,473,1567,0.3504657799828261,Critical,Expedite replenishment
P0013,43648.38148466919,5456.047685583649,1718,380,2098,0.38452743100898523,Critical,Expedite replenishment
P0014,41300.8997863045,5162.612473288063,1579,753,2332,0.4517092871227562,Critical,Expedite replenishment
P0015,39520.77968560771,4940.097460700964,1523,599,2122,0.42954618140244216,Critical,Expedite replenishment
P0016,34952.302954722305,4369.037869340288,908,717,1625,0.3719354348936715,Critical,Expedite replenishment
P0017,35853.80615579359,4481.725769474198,1170,378,1548,0.3454026595164954,Critical,Expedite replenishment
P0018,34275.42195063962,4284.427743829952,1078,530,1608,0.37531266627513954,Critical,Expedite replenishment
P0019,39571.72303649756,4946.465379562195,1250,442,1692,0.34206243654125335,Critical,Expedite replenishment
P0020,39143.26839250284,4892.908549062855,1309,798,2107,0.4306232129361086,Critical,Expedite replenishment
